序号,用户,评论,时间
21748,老虎乸是我,最美的人儿,3月22日 22:14
25498,玲玲玲玲玲玲子儿,最美的女神，喜欢你,3月22日 16:56
24659,候燕茹,最美的女孩这次真的很想中奖 因为太太喜欢了,3月22日 20:20
20476,XT想要满窗的日光,最厉害的超人姑娘,3月22日 22:59
10168,洛城东有落花风,最看似不食人间烟火的人，却最懂得人间烟火,3月23日 23:22
4958,努力向上的Ivy,最近总是带着一股丧气在干活，需要来这里洗洗眼放放神,3月27日 22:47
22535,羊晗Yang-HHH,最近准备照您的视频做个面包窑，期待,3月22日 21:48
10285,不是小李飞刀是李小刀,最近正好学到一句俚语，you are the apple of my eyes,3月23日 23:07
17422,不好不坏0425,最近真的太难了，家人生病了才知道我前30年的难过其实都是矫情。,3月23日 05:01
6738,零和七_,最近这段时间时不时翻你微博看更新了没有，终于...,3月26日 00:28
23119,大姐哈德森,最近遇到平安银行暴力催收，催收的说他们是外包的催收部，然后各种骚扰，一会说是法院，一会说是律师，一会说是公安局，就是各种暴力催收，打电话到平安，他们就把你推给所谓的催收部。,3月22日 21:29
31643,小春温和,最近又被圈粉 第一眼就被视频吸引到了 有幸翻到了柒姐你的视频 也能在你视频中感受到大山优美的风景和淡然的生活 也被你的才艺你的手艺和你的创造力说精悍 你也成了我的榜样 也愿柒姐你和我能共同进步 也愿我可以成为你那样 做一个优秀的人,3月21日 17:32
24598,叁月十柒_,最近一直在刷你的视频，这才是理想的生活，把每一件简单的事情认真做到极致了。,3月22日 20:31
20639,-夏季茉-,最近一直在刷姐姐的视频。太爱你了。姐姐真的是超级厉害！！！！超级羡慕姐姐的生活了！奶奶也好可爱，好喜欢奶奶。最后强行么么哒  ,3月22日 22:53
17067,张阿村,最近一直在考古,3月23日 07:31
10669,Adamcx丞,最近无聊看了你的视频，真的很不错,3月23日 22:22
29638,神迹红莲,最近特喜欢蓝染泥染这类衣物，是真的爽到,3月21日 22:10
6348,雨葭really,最近太忙了，没关注，你太棒了,3月26日 13:01
9418,CX繁星,最近刷了好多你的视频，很喜欢看你和婆婆。因为看着你们会想起在另一个世界的爷爷奶奶，也会想起小时候跟他们去田里做农活的事情。,3月24日 10:39
22739,今天也很知足_,最近买了柒姐的藕粉和红油面皮，还有米糕，i了,3月22日 21:42
10189,咦惹哼哼怪,最近买了布，正好在学怎么亲手裁剪缝制衣服哎！真的万能李子柒啥都会啊！想学！,3月23日 23:19
3184,南南南南南南茜,最近芦笋般看到好多模仿子柒的博主   但是一看就属于摆拍的那种   纵然是穿上龙袍也不像太子,3月30日 19:36
27981,薇子幸福,最近老點進來，看看我們子柒什麼時候更新呢！感覺離不開你了！😌🌷我是女的。,3月22日 02:28
30160,仙女兒de世界,最近靠着思考子柒寻求安慰 感觉快自闭了,3月21日 21:01
29837,Dumbo_Qian加油加油加油,最近看李子柒的视频很多，也发觉她在不知不觉中开始影响着我的心态我的生活，也许我们大多数人很难活的如此诗意，但却可以学着静下心来，用身体和心灵去感受生活中的一蔬一果，一茶一饭，在这些短暂的时光里，享受内心的安静与平和~~      ,3月21日 21:47
19434,升級打怪小菜鳥,最近很丧，想和先生说一切都会过去。我们也终能过上理想生活。,3月22日 23:40
12798,杰伦说这是不能说的秘密,最近很多不愉快不确定的的事儿，看了子柒美好的这一切，真的被治愈了❤️。加油，一起要变得更好,3月23日 16:24
23279,三宝666地来啦,最近刚好想做个门帘。没有心仪的布一直没开工，好想要个同款啊。,3月22日 21:23
17828,凉介舟,最近疯狂在家里安利李子柒 太厉害了,3月23日 01:40
813,求稳定2020,最近发现子柒的视频看会让我一恍惚，想起童年，又治愈了现在,4月18日 00:43
7447,慕容冰璃,最近才想起来看看你的视频，身心放松，我也对生活增加了更多向往,3月25日 14:45
26311,枫灬颜,最近才进圈的，感觉视频都挺好看的，就是不怎么听得懂说啥,3月22日 13:35
27119,心中的海豚湾,最解压的视频,3月22日 10:28
13070,Tin-張,最后子柒穿着斗篷站在树下，好美啊,3月23日 15:43
21379,青苔姑娘cholon,最后真是太美了，回眸一笑,3月22日 22:26
12996,苏悠然CAT,最后真的震撼到了,3月23日 15:54
7376,樱桃味的小软糖,最后真的太美了！人和景都很美！,3月25日 16:10
18769,过去好像,最后真的太美了,3月23日 00:13
16153,可乐小姐z,最后真的是美得,3月23日 09:13
13450,陕西省重点保护废物,最后真的是绝了我的妈呀,3月23日 14:40
4244,Zhu_Rea,最后真的美哭啊,3月28日 23:34
13301,铅笔小新削铅笔,最后真的绝了仙女姐姐,3月23日 15:04
18060,再大不过离别,最后真的很棒,3月23日 01:07
21509,小白白白白白白白蝎子,最后真的好应景,3月22日 22:22
2724,我甄我现啊_,最后真的好看哭了,4月1日 21:11
29938,再吃最后一口就好,最后真的被惊艳跟感动到,3月21日 21:33
27026,Krystal7519,最后这一幕真的太美了，感觉像古代言情小说的封面，还是卖的特别好的那种原谅我只喜欢古代言情，也只看过这类,3月22日 10:49
17318,Akdongxxxxi,最后这一幕绝了,3月23日 06:28
27598,叶子叶叶子2011,最后站在树下看花那一幕美出天际了，简直是神仙一般的女子啊！,3月22日 08:30
17107,春天飞翔鸟,最后一帧太美啦,3月23日 07:25
11329,Hyue亭婷,最后一帧绝了强行么么哒 设计构思很用心哦,3月23日 20:45
28024,belove毛,最后一帧简直就是神来之笔呀,3月22日 02:06
19940,陈-佩-玉,最后一帧，柒姐美哭了！,3月22日 23:20
19665,大熊八下贵贵叮叮当当,最后一张图真的太有创意，把自己设计到画里。,3月22日 23:30
941,YM莫比乌斯,最后一慕我我哭了,4月15日 01:37
1465,醉尘寰公馆,最后一幕转换怎么才能做成动图啊,4月8日 19:14
8305,浅沫浅爱,最后一幕直接泪目,3月24日 23:06
22769,是辰不是沉,最后一幕真是太美了！,3月22日 21:41
31826,#NAME?,最后一幕真是美成一幅画！,3月21日 17:08
26111,瑶瑶远的孟想,最后一幕真是绝了,3月22日 14:14
7031,徐徐清风徐徐来,最后一幕真美,3月25日 21:23
18461,Goodgentle,最后一幕真的太绝了！！！我好爱,3月23日 00:31
25945,苏兮溪爱你,最后一幕真的太好看了！啊啊啊啊啊啊,3月22日 14:52
14602,霓虹渡浮华,最后一幕真的是绝了,3月23日 12:14
3496,枯行,最后一幕真的神来之笔… 好看好看好看！,3月30日 00:28
31503,Ensemble--,最后一幕真的美哭了,3月21日 17:54
31224,twoninenine,最后一幕真的美到我了,3月21日 18:35
28561,枝咦咦,最后一幕真的美呆了！,3月22日 00:07
23483,Weiyizhuo-,最后一幕真的美呆了,3月22日 21:16
